"workclass","education","marital_status","occupation","relationship","race","sex","income"
"Private","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Transportation","Own child","Black"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Federal gov","Assoc voc","Never married","Prof specialty","Other","Asian"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"State gov","Some college","Divorced","Protective service","Other","White"," Male","<= 50K USD"
"Private","Masters","Never married","Executive","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","11th","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Sales","Unmarried","White"," Female","<= 50K USD"
"Private","Prof school","Married to civilian","Prof specialty","Husband","Asian"," Male","> 50K USD"
"Self emp not inc","Some college","Separated","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Admin","Wife","White"," Female","> 50K USD"
"Private","12th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Admin","Own child","White"," Male","<= 50K USD"
"Private","10th","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Private","7th to 8th","Married spouse absent","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Tech support","Husband","Black"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Prof specialty","Own child","White"," Male","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Self emp not inc","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"State gov","10th","Divorced","Other service","Not in family","Black"," Female","<= 50K USD"
"Self emp not inc","Some college","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","7th to 8th","Never married","Other service","Other","White"," Male","<= 50K USD"
"Private","9th","Widowed","Other service","Unmarried","Black"," Female","<= 50K USD"
"Local gov","Some college","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","9th","Married to civilian","Admin","Husband","Black"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Handlers and cleaners","Not in family","Black"," Male","<= 50K USD"
"Private","Some college","Never married","Sales","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Separated","Sales","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Never married","Sales","Own child","Asian"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Handlers and cleaners","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Other service","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Local gov","Assoc voc","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Craft and Repair","Wife","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Handlers and cleaners","Own child","Black"," Male","<= 50K USD"
"Private","HS grad","Divorced","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Prof specialty","Husband","Native American"," Male","<= 50K USD"
"Private","11th","Never married","Farming and fishing","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Sales","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","11th","Never married","Sales","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"State gov","Doctorate","Never married","Prof specialty","Not in family","Black"," Female","<= 50K USD"
"Private","HS grad","Never married","Executive","Other","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Self emp not inc","Some college","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Federal gov","Assoc acdm","Never married","Transportation","Not in family","Black"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Local gov","Masters","Never married","Prof specialty","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Separated","Mechanic","Unmarried","Black"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Tech support","Own child","Black"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Divorced","Tech support","Not in family","White"," Female","> 50K USD"
"Private","Some college","Never married","Tech support","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Local gov","HS grad","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","7th to 8th","Never married","Other service","Other","White"," Male","<= 50K USD"
"Private","9th","Married spouse absent","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","10th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","12th","Never married","Craft and Repair","Other","Other"," Male","<= 50K USD"
"Private","10th","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Sales","Own child","White"," Female","<= 50K USD"
"Private","9th","Divorced","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","Assoc voc","Married to civilian","Transportation","Wife","White"," Female","> 50K USD"
"Private","HS grad","Divorced","Mechanic","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Self emp not inc","10th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Federal gov","Assoc voc","Married to civilian","Protective service","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Federal gov","HS grad","Divorced","Craft and Repair","Unmarried","White"," Male","<= 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Admin","Not in family","White"," Male","<= 50K USD"
"State gov","HS grad","Never married","Other service","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","1st to 4th","Widowed","Other service","Unmarried","Other"," Female","<= 50K USD"
"Private","Bachelors","Divorced","Executive","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","HS grad","Widowed","Other service","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Sales","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Sales","Husband","Asian"," Male","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Other","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"State gov","Bachelors","Never married","Prof specialty","Own child","White"," Female","<= 50K USD"
"Local gov","HS grad","Divorced","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Divorced","Craft and Repair","Other","White"," Male","<= 50K USD"
"Private","7th to 8th","Never married","Farming and fishing","Unmarried","Other"," Male","<= 50K USD"
"Private","HS grad","Never married","Admin","Unmarried","White"," Male","<= 50K USD"
"Private","Assoc voc","Never married","Other service","Other","White"," Female","<= 50K USD"
"Private","Some college","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Mechanic","Own child","White"," Male","<= 50K USD"
"State gov","Some college","Never married","Transportation","Not in family","Black"," Male","<= 50K USD"
"Federal gov","HS grad","Never married","Executive","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","White"," Male","> 50K USD"
"Private","Doctorate","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Local gov","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","12th","Never married","Executive","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Sales","Not in family","White"," Male","> 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Assoc acdm","Divorced","Executive","Unmarried","White"," Male","<= 50K USD"
"Local gov","Bachelors","Divorced","Prof specialty","Not in family","Black"," Female","<= 50K USD"
"Self emp inc","Some college","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","7th to 8th","Married to civilian","Craft and Repair","Husband","Black"," Male","> 50K USD"
"Self emp inc","HS grad","Divorced","Executive","Unmarried","White"," Female","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Federal gov","Some college","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Unmarried","White"," Male","> 50K USD"
"Private","10th","Widowed","Sales","Unmarried","Black"," Female","<= 50K USD"
"Private","Bachelors","Divorced","Sales","Not in family","Black"," Female","<= 50K USD"
"Federal gov","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Federal gov","Bachelors","Divorced","Protective service","Not in family","White"," Male","> 50K USD"
"Self emp not inc","Prof school","Divorced","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Prof specialty","Own child","White"," Female","<= 50K USD"
"Federal gov","Masters","Married to civilian","Tech support","Husband","Asian"," Male","> 50K USD"
"State gov","Some college","Never married","Craft and Repair","Not in family","White"," Female","<= 50K USD"
"Private","11th","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Local gov","HS grad","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Never married","Farming and fishing","Own child","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Tech support","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Bachelors","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Sales","Own child","Asian"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Self emp not inc","Bachelors","Separated","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Craft and Repair","Other","Asian"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Federal gov","HS grad","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Admin","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Handlers and cleaners","Husband","Black"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Never married","Admin","Own child","Black"," Female","<= 50K USD"
"Self emp inc","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Local gov","HS grad","Never married","Transportation","Not in family","Asian"," Male","<= 50K USD"
"Local gov","Bachelors","Never married","Admin","Not in family","White"," Male","<= 50K USD"
"Private","12th","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Other service","Not in family","Asian"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Federal gov","Doctorate","Never married","Prof specialty","Not in family","White"," Female","> 50K USD"
"Private","HS grad","Divorced","Transportation","Not in family","White"," Male","> 50K USD"
"Local gov","11th","Divorced","Sales","Unmarried","White"," Male","> 50K USD"
"State gov","Bachelors","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Tech support","Own child","White"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Sales","Not in family","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Local gov","Assoc acdm","Married to civilian","Admin","Wife","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Executive","Not in family","White"," Female","<= 50K USD"
"Private","Assoc acdm","Divorced","Admin","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Sales","Unmarried","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","Black"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Other service","Unmarried","Black"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Admin","Unmarried","Asian"," Female","<= 50K USD"
"Private","11th","Divorced","Other service","Not in family","White"," Female","<= 50K USD"
"Private","Assoc voc","Divorced","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","5th to 6th","Married spouse absent","Craft and Repair","Other","White"," Male","<= 50K USD"
"Private","HS grad","Widowed","Admin","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Some college","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Federal gov","Some college","Divorced","Prof specialty","Not in family","White"," Male","> 50K USD"
"Private","HS grad","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Assoc voc","Never married","Tech support","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Never married","Other service","Unmarried","White"," Male","<= 50K USD"
"Federal gov","Some college","Divorced","Admin","Other","Black"," Female","<= 50K USD"
"Private","HS grad","Separated","Sales","Not in family","White"," Female","<= 50K USD"
"Federal gov","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","7th to 8th","Never married","Handlers and cleaners","Unmarried","White"," Male","<= 50K USD"
"Federal gov","HS grad","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Separated","Executive","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Local gov","Some college","Married to civilian","Protective service","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Tech support","Not in family","Asian"," Female","<= 50K USD"
"Private","HS grad","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Sales","Not in family","White"," Female","<= 50K USD"
"Self emp inc","Bachelors","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Never married","Farming and fishing","Other","White"," Male","<= 50K USD"
"Local gov","Bachelors","Separated","Prof specialty","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Never married","Mechanic","Other","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"State gov","Assoc voc","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Own child","Black"," Female","<= 50K USD"
"State gov","Bachelors","Married to civilian","Protective service","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Sales","Other","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Other service","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Admin","Wife","White"," Female","> 50K USD"
"Local gov","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Local gov","Bachelors","Never married","Prof specialty","Own child","White"," Male","<= 50K USD"
"Federal gov","Some college","Divorced","Admin","Unmarried","Black"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Executive","Wife","White"," Female","> 50K USD"
"State gov","Assoc acdm","Divorced","Prof specialty","Not in family","Black"," Male","<= 50K USD"
"Private","11th","Never married","Transportation","Not in family","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","10th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Self emp inc","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Separated","Executive","Unmarried","White"," Female","<= 50K USD"
"Federal gov","Assoc acdm","Never married","Admin","Unmarried","Black"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Private","Assoc acdm","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Tech support","Not in family","White"," Female","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Self emp inc","HS grad","Never married","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp not inc","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Local gov","Masters","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Local gov","Bachelors","Never married","Executive","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","Asian"," Male","> 50K USD"
"Private","10th","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Executive","Wife","White"," Female","> 50K USD"
"Private","Bachelors","Widowed","Prof specialty","Not in family","White"," Female","> 50K USD"
"Private","Some college","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Local gov","Assoc voc","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Local gov","Masters","Widowed","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","Some college","Never married","Admin","Own child","Black"," Female","<= 50K USD"
"Private","Bachelors","Never married","Handlers and cleaners","Other","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","11th","Never married","Executive","Own child","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Admin","Other","Asian"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Wife","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Local gov","Some college","Never married","Admin","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","HS grad","Divorced","Executive","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Separated","Tech support","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Married spouse absent","Admin","Own child","White"," Female","<= 50K USD"
"State gov","Masters","Divorced","Prof specialty","Not in family","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Divorced","Transportation","Unmarried","White"," Male","<= 50K USD"
"Local gov","9th","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","Some college","Divorced","Craft and Repair","Own child","White"," Male","> 50K USD"
"State gov","Assoc acdm","Separated","Other service","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Federal gov","HS grad","Married to civilian","Admin","Husband","Black"," Male","> 50K USD"
"Federal gov","11th","Widowed","Admin","Not in family","White"," Female","<= 50K USD"
"Private","12th","Never married","Admin","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Admin","Wife","White"," Female","<= 50K USD"
"State gov","HS grad","Married to civilian","Admin","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","> 50K USD"
"Self emp inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Assoc voc","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Local gov","Some college","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","> 50K USD"
"Federal gov","Some college","Divorced","Prof specialty","Not in family","Native American"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Self emp inc","Assoc voc","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Self emp inc","Some college","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","HS grad","Divorced","Sales","Not in family","White"," Female","<= 50K USD"
"Local gov","HS grad","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Widowed","Executive","Unmarried","White"," Male","<= 50K USD"
"Private","Masters","Separated","Other service","Own child","White"," Female","<= 50K USD"
"Private","Assoc voc","Widowed","Admin","Not in family","White"," Male","<= 50K USD"
"Local gov","11th","Never married","Prof specialty","Own child","White"," Female","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Executive","Wife","White"," Female","> 50K USD"
"Private","Assoc acdm","Never married","Craft and Repair","Own child","Other"," Male","<= 50K USD"
"Private","Masters","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Mechanic","Own child","Black"," Male","<= 50K USD"
"Self emp not inc","Masters","Married to civilian","Executive","Wife","White"," Female","> 50K USD"
"Private","HS grad","Never married","Executive","Other","White"," Male","<= 50K USD"
"Private","Some college","Never married","Prof specialty","Own child","White"," Male","<= 50K USD"
"State gov","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Doctorate","Married to civilian","Prof specialty","Husband","Asian"," Male","> 50K USD"
"Private","10th","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Masters","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Sales","Not in family","White"," Male","> 50K USD"
"Private","HS grad","Married spouse absent","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Admin","Not in family","White"," Male","<= 50K USD"
"Private","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Craft and Repair","Own child","Black"," Male","<= 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Unmarried","Black"," Male","<= 50K USD"
"Federal gov","12th","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Self emp inc","Some college","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Assoc voc","Separated","Executive","Unmarried","Black"," Female","<= 50K USD"
